protein	a1	a2	a3	a4	b1	b2	b3	b4	c1	c2	c3	c4	d1	d2	d3	d4	e1	e2	e3	e4
O00148	NA	25.32579688257311	25.775298466431643	25.37210867037676	NA	NA	NA	NA	25.996464848656334	NA	NA	25.832835664102888	25.92324172167585	NA	NA	25.888092541517764	25.4314308269402	25.241101220472842	NA	25.67230272717798
O00151	30.353580136686197	30.37363257558532	30.339900135349986	30.349848779823397	30.341732119516827	30.352184053939638	30.388826287813814	30.383212635702165	30.34591362946498	30.34428001238652	30.308823180388714	30.337057317862985	30.33613705712051	30.320115968342833	30.393344920702894	30.248112654083272	30.287423466885173	30.2898145018801	30.262562587186864	30.304496908126623
O00154	28.045792782776715	28.166525704876396	28.153024586245877	28.04197823670222	28.115982385394922	28.15465653324175	28.1579809676846	28.04316152781393	28.112918974989725	28.119591571035365	28.143455771088387	28.186356883685566	28.02921075147019	28.167231570630374	28.242768256521273	28.14255339905808	28.11355616221281	28.064557111990016	28.0654531512981	28.069560219151448
O00159	29.43989597807834	29.375677359494457	29.418320459604217	29.465689198279332	29.417600860411365	29.481313890875498	29.495715853719187	29.46321069829146	29.443401594806804	29.415853767306228	29.437763152350396	29.423453471418966	29.440317281552204	29.37434674035266	29.472703179166153	29.481783281182782	29.382198635249893	29.432172818153674	29.364111900267122	29.39595478360609
O00161	26.141133464531155	26.27117361727712	26.195658179496778	25.976461931125698	25.91789342134046	26.368293191171638	26.083236300986613	25.928411570761366	26.109576803561254	26.29735458954303	25.944714697566564	26.22507472876678	26.109175056208077	26.14076842892694	25.902674767667456	25.811791436966335	26.191407431520798	26.06713124701099	25.91735998725257	25.738090702394608
O00165	22.806274729859208	23.57334190336261	23.111987528408545	22.92174482468336	NA	23.245190206862166	23.13024561004623	NA	NA	NA	NA	NA	23.529363522294528	NA	23.387732283430672	NA	23.14877646089229	23.513439581279332	22.346510155944557	22.808785601854492
O00170	27.271232982013956	27.38293096452854	27.34293504644932	27.2180410080412	27.295402243084183	27.43193314253242	27.332754740583603	27.37006045269795	27.232074747036705	27.370615528233888	27.25991735012678	27.44020816892084	27.34560958253737	27.313670033086428	27.312042416689362	27.34328994469724	27.27442206941103	27.305978042300627	27.33859847821941	27.31987652080854
O00186	24.60806308709742	24.597564295853843	24.686900717050804	24.66624979343778	24.688472467012758	24.750863258328604	24.640744352981603	24.620570293476934	24.596885890723296	24.760464858193753	24.68930655880842	NA	24.818218528172995	24.73151902874775	24.667824543452863	24.503130935349837	NA	24.698427781839833	24.711179905154758	24.64149728445323
O00193	24.651995079945834	NA	24.476088388616212	24.58940502480763	24.74757159680984	NA	25.07012494244052	24.83349939122863	NA	24.34603664802408	24.80782798241988	NA	23.760716059131664	24.63645453475806	24.728989853873028	NA	24.711156855662132	24.590315764144403	24.961363822939493	24.91034320642434
O00194;P51159	NA	24.863874623104838	24.68802133607052	NA	25.070776960418456	NA	NA	24.783643251448073	25.06308988846264	24.90846564019514	24.94885171825393	24.7849603732469	NA	NA	NA	NA	NA	25.079147283395155	NA	24.89574631287324
O00203	27.201633032182293	27.262515399071898	27.20492210361717	27.214587570357526	27.011029369860484	27.27049662503697	27.069786671656242	27.262667635071733	27.30174736416187	27.355901700330268	27.340251540973078	27.080075276038457	27.346471562034175	27.400143439388934	27.311691694664813	27.153937514369414	27.19007012771615	27.14777649696982	27.249154674457504	27.194426846404802
O00231	29.985571987838952	29.843934560835557	29.92479512103541	29.955448753377283	29.812234175856922	29.84390508130526	29.913454233112517	30.04612972127594	29.81463442621893	29.871554242790772	29.816322461671156	29.843473789476974	29.88086543667766	29.852533820565924	29.92413051966726	29.88671966384083	29.833969602611596	29.798390015037903	29.919983335448663	29.91233818661646
O00232	27.67878194671523	27.561203308684373	27.7781234787816	27.773698316538177	27.464782263044256	27.524088640411346	27.798729955522223	27.79606303634039	27.416888290597743	27.609042851708722	27.59617923641205	27.675161756421105	27.455877453496363	27.457419242936936	27.725347396576446	27.730728314913897	27.603237256852992	27.38607721399261	27.760259862580313	27.631656744396015
O00233	25.936077419080654	26.14807639357673	26.245344137776602	25.97604360708046	25.995289917903193	26.103739047341893	26.100210071377933	26.13233378281202	26.178709925764974	26.08137689906286	26.114374485295752	26.075562670840107	25.919817364126146	26.098102342383573	25.812618926851215	25.894382191619858	25.876699971549833	26.198533250299445	25.71311397732499	25.919875191841367
O00244	26.558588437974812	26.431103149715103	26.707291611898963	26.82894817710364	26.578457590921293	26.45402022003145	26.656969697912867	26.544382398471342	26.71765885331471	26.64936752403411	26.529617154169436	26.86111061244267	26.50744138701741	26.405501180918595	26.60778401069095	26.55195935279234	26.548625226383354	26.612381612290996	26.659396819688908	26.870182539454007
O00264	27.526621534144468	27.51517003335536	27.495972596425204	27.555101791192463	27.422710055197893	27.462206841267463	27.489220476659334	27.63660298290338	27.43118524076362	27.540087609179505	27.6382062235378	27.54162745003669	27.44513375954841	27.482434260051836	27.470858877411622	27.514477196802677	27.53027837181394	27.586881663072436	27.598880505119894	27.59085436242884
O00267	29.556243360181526	29.579755750969227	29.632305689136338	29.67218849564376	29.550633139267706	29.620162338629818	29.55648515606253	29.50936731301632	29.58215095683635	29.474226629856936	29.56392715641786	29.596443946681624	29.550965003152623	29.55055367999299	29.642815530869605	29.581979755873554	29.522427719475903	29.50446566711693	29.592513017390537	29.62496610870327
O00273	26.703790818111614	26.851574419088617	26.944323196776534	26.721747841501653	26.805650058900245	26.759011257835862	27.072371434686612	26.884323194602825	26.710959324126726	26.83876937459143	26.906406063841477	26.856714141016337	26.75848987719035	26.714969381197893	26.98849151723146	26.912090213033494	26.80299403153815	26.823617325376066	26.535406291200967	26.949231336221114
O00291	NA	NA	23.744342419861194	23.736641590853782	NA	23.79785491801652	23.718100868434263	23.764431726792793	NA	24.194898152907097	NA	23.74545146476954	24.186345456183627	24.50485415390055	24.274599087507173	23.832205757947367	23.68347149885028	NA	24.17881040368147	23.659172786042614
O00299	31.610681413720137	31.54864190148419	31.531380135862435	31.553569361299786	31.51635903520023	31.524899992739783	31.521517948623575	31.543946202924502	31.4236929936837	31.4718830040729	31.516647399264833	31.445183018508814	31.501691752003275	31.558109304794357	31.557272716076355	31.575204917618755	31.413744390629923	31.47516628740211	31.516705386446866	31.52534069822825
O00303	29.520458305183617	29.666989431918502	29.658315959183433	29.437897919893146	29.724219731620067	29.6629899540576	29.68286496157515	29.547535009652734	29.658706459655292	29.635624022869223	29.56965094689373	29.454000353983865	29.692582572567495	29.604123670676785	29.607962551009336	29.54665226112614	29.66650970879504	29.66454188886776	29.506188465518903	29.43823007464137
O00330	25.44452109818702	25.415800626376132	25.234699584807583	25.19823578755775	25.432162559214664	25.25037275603001	25.12528291069738	25.11824160059505	25.366104229786526	25.383582507184286	25.21898578412688	25.260965286015104	25.04159062170842	25.248427409815122	25.130953410863707	24.890451428637288	25.307155286982063	25.03928117348071	25.050718249993945	25.068592962559194
O00401	NA	25.85369311729148	25.620555524495202	NA	25.48414473179346	25.798709053051088	25.65447717167452	NA	NA	25.51527712163153	25.5165735562299	25.55117476944914	25.705375626323246	25.769360579075155	25.894946129988874	25.336212395752437	25.767490405705352	25.317284842086078	25.647081782226866	NA
O00410;O60518	29.379548349774698	29.264983358357757	29.338481655667454	29.352228101035585	29.24522086371798	29.275939769845593	29.380787854753653	29.274149306216888	29.259273277802546	29.355670601889393	29.275554095923713	29.311323424494187	29.29783530954476	29.317669021877837	29.335844604425766	29.284485043748234	29.25942847374108	29.257826034861836	29.30112667501613	29.332461798484122
O00425	29.111750887932473	28.996600703434087	29.043791371750665	29.098367669890855	29.039559486405107	28.956534228464022	29.007672123951842	29.063837022349652	28.924417686042993	28.960642889700452	28.95966086078561	29.15331113758118	28.984559934212246	28.907425985157484	29.08653801465786	28.984816104369784	28.963280950932372	28.92811329371471	29.04359168264733	29.045722331862358
O00429	28.178288600455048	27.98514424734467	28.040380360995986	27.93992801155119	27.963307973855972	27.98712426872366	27.98315692804759	28.114716441368014	27.902015272277268	27.967753441862502	28.011019622948147	28.084807513375598	27.923426590736774	28.031984089693736	28.16155813421437	28.084193548738895	27.945820900800026	28.094884912324723	28.09521028606429	28.037162890418188
O00461	25.10281382523789	25.04153788016567	24.864280122531312	24.950272407144833	24.881562978903084	25.109060978438574	25.07350329511383	25.098459832485805	24.717396711941976	24.92491730420972	24.84613403278673	25.149741164975982	24.662133412980012	25.05566063434904	24.970563575135856	24.959841508582066	24.746959996623826	24.803946809380328	24.688652790183696	24.939845471357607
O00468	NA	NA	NA	NA	NA	23.352657740346125	22.95182238835316	22.883915938652994	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
O00469	28.511922582232888	28.54511926937932	28.697840372431656	28.558528538822763	28.449438594331788	28.461012636949196	28.441916001884437	28.543520739981545	28.603319759994623	28.567703696002752	28.60671237985996	28.516500104907795	28.50719472768066	28.47537081922973	28.548332240689298	28.392258379118854	28.516026041547192	28.51296762389846	28.453858504063337	28.496120237334075
O00471	24.68471606454369	24.758575632440227	NA	24.7968109649616	NA	24.667923335903616	NA	24.66471137736631	NA	NA	24.787131851841284	24.66835705711078	NA	NA	NA	NA	NA	NA	NA	NA
O00487	28.404065107986685	28.494250158228347	28.436827432963636	28.346292654564188	28.346286393440703	28.426259438314464	28.591526138225152	28.356189461935617	28.41102424392617	28.521178951490082	28.487471107251864	28.33799535108256	28.34849518892485	28.38130908774053	28.497238276292578	28.33383103156928	28.43549463056668	28.29302507872131	28.217840016785285	28.35067722030389
O00499	25.650657028310317	25.629339471843007	25.275358029843535	25.994914316454672	25.861364433643754	25.540317168225645	25.628717901068242	25.74438128343418	25.59103142664177	25.679653753064894	25.714299296940588	25.624634010734837	25.77007495001095	25.47484065373182	25.636325154558367	25.494504144609458	25.62561052549792	25.542465120551835	25.551268318610425	25.462325366896458
O00505	26.13744813102143	26.174147664610317	26.13858463251023	26.178373092464916	26.252653113119234	26.14805537238168	26.360676622705775	26.316388453877646	26.2017744970439	26.06034727026059	26.232328723544434	26.1951180254161	26.107081026047076	26.207748388027717	26.16662871404196	26.180397230560303	26.02088030513051	26.01903804857222	26.146054228109524	26.079292275057025
O00541	27.950126257891448	28.135770638043148	27.877467800778298	27.937351769722156	27.919546607328066	28.01143247461292	27.83190500599081	27.907639183349463	27.974662891148615	27.952330496107336	27.974597131090484	27.81144395485966	27.967123826163405	27.901873818120627	27.73459989017462	27.870157353865856	27.91305775277172	27.991906266180212	27.93772524541551	27.85737647275989
O00560	27.72650694158392	27.722687455140306	27.859608682807416	27.937996261598357	27.744701162251015	27.68148234975683	28.005124799469584	27.870358461897936	27.52486398613469	27.668709080323875	27.624004770844937	27.75055853689277	27.655276444895144	27.68770898313509	27.858985633316387	27.891158343330506	27.708563202727728	27.659682115629263	27.912875393419686	27.94327085405742
O00566	26.02836280021003	26.31157579603131	25.327802453344884	25.864074808433497	26.046200872252737	25.98947741951965	25.79014349909271	26.199845445470753	25.825307799775192	25.86323697006582	25.969493525366246	25.80540192721168	25.855027725619564	25.892850892041032	25.734599890174625	25.84687980102991	26.154636072620498	25.86459052730614	25.879292578201245	25.76474376438319
O00567	28.36871852312316	28.303106825666244	28.38696408814316	28.380122364368514	28.30504868499661	28.341086986882587	28.321140351066084	28.375319445488152	28.366204559773067	28.333929688683025	28.389096951778996	28.349542746724676	28.237639410748756	28.281860872094356	28.39929896119234	28.33214004285345	28.262776474543315	28.28995224467169	28.27584703790859	28.27404401446817
O00571;O15523;Q9NQI0	29.692329079995254	29.547059560239013	29.722581175532625	29.77339742283344	29.56281769650065	29.644104696534406	29.732845947367323	29.661261008910053	29.638704030666865	29.584492934223547	29.6185988732149	29.730501525009082	29.54256478994883	29.541815981653176	29.70036324330959	29.6659066768487	29.58980293200038	29.5814900839258	29.702026069452145	29.715160083379338
O00622	27.96339519699428	28.092644564845337	28.149377276169105	28.094133361958544	28.097055414217763	28.12192959052832	28.12311737772806	28.16567531800232	28.315797934226556	28.197995173862193	28.101354273376423	28.06326021917277	28.12274285286096	28.152661255647857	27.97808642880831	28.069643499651693	28.15254752755834	28.00376787384974	28.119701507277433	28.192818082950573
O00625	24.91898390699539	24.80306211297884	24.772515933234295	24.93967059428922	24.596669279094602	24.909564156756204	24.720080257202124	25.04964271280495	24.816425443736613	24.65661691944109	24.666169191013076	25.133330297743637	24.699315514467518	25.062291396513064	24.883805935360567	24.787392853172314	24.78752470338731	25.00362230373252	24.966716887664518	25.064589496158163
O00629	28.12369023932338	28.11388844989327	28.22668621811669	28.04387553448575	28.03904576099965	28.159889210255464	28.15075551317551	27.926479939724825	28.005854287068637	28.039194954957697	28.1517696299251	28.146026009960362	28.157441184528206	28.130073887515177	28.107980249955716	28.270765905663946	28.04830552304204	28.139443070491645	28.119188001295548	27.939787343875544
O00743	26.54819919173214	26.62979643346882	26.451103971810227	26.5357175427567	26.538090325449996	26.50616728576433	26.422153754458133	26.380445805244086	26.5068815963253	26.64277045033405	26.492393274370063	26.491065355265576	26.508288956990555	26.595184905413426	26.40565583466437	26.269851170980633	26.674301885226388	26.569829504782	26.641199400140327	26.301953049518588
O00746	25.422245541867706	25.516071799598745	25.494401223237308	25.372839752429098	25.55384088564838	25.493517184490123	25.445302440271334	25.460727494535305	25.285004780680953	24.96403166295489	25.558198962932334	25.585444947732373	25.486495378538184	25.41032605835803	25.47065468207297	25.608561220861862	NA	25.417349010562635	25.41365211083965	25.578078971979213
O00762	27.363403103992347	27.514879020738963	27.5317348242578	27.429730029300337	27.60431516777443	27.548813218754386	27.410163576063272	27.477914711873673	27.40855015952865	27.47890249075285	27.48437652210805	27.528240833687775	27.544105990389216	27.421406770560186	27.531827436296815	27.401177632688114	27.443645822338627	27.473004310437148	27.43698085241281	27.31665701652972
O00764	25.75949833407973	25.639119039426582	25.64226692056797	25.82261032391575	25.317446798819947	25.73575371127323	25.87509037291082	25.72271829300071	25.484087606056626	25.827226979987888	25.673361431356224	25.5978009293205	25.474023202625272	25.744392311821446	25.584572295684648	25.84836087046374	25.39795659124269	25.44198655798795	25.73177607209012	25.38379400179899
O14493;O95484;P56747;O15551	NA	24.882220756278517	24.47644219268262	24.26536954684191	25.01310249374737	25.078399298793425	24.281057378038874	NA	25.158556985567884	25.110436237240723	25.402807011682267	24.613464847860616	25.12328613851637	25.054559598982017	NA	NA	25.087946230744308	25.21885569755671	NA	NA
O14497;Q8NFD5	24.952587568117618	25.02233908379326	25.03480582142199	25.021529550823875	25.274936665664452	NA	25.281916605870833	25.610814682494635	25.350129984266054	25.09291771105537	25.098999116423336	25.228150544229322	25.086033771731206	24.690560551013803	25.217183230347928	25.059847326554426	25.048815545100418	25.284257103939986	25.47712828338619	25.185100371628067
O14530	26.126958081510253	26.016492266592472	25.998765454718335	26.139639461113752	26.1990463007691	26.182624718851805	26.020249035800944	26.009388849869516	26.013518535526554	25.987500238510673	26.058372161667297	25.907826820558775	26.047687946643855	26.084681250394326	26.10137047359801	26.08387409369477	26.213411995720413	25.983527696639257	26.054311353953707	26.090499403736732
O14548	NA	24.529819160697787	24.650103044672043	24.744718970505676	24.529206608420242	24.338227997491707	24.881068038565264	NA	24.721794377771722	24.530545145495868	24.375672956494746	24.670687525385834	24.57972990011994	24.692358641562844	24.495232067964622	24.757569563137736	24.614012695900502	24.62497181529401	24.892935014909803	24.761905881630444
O14561	26.620204631686697	24.61683800765719	26.72116679137339	26.712737225557127	26.908114377356227	26.661632407262047	26.56621627636846	26.52258949239027	26.546097966480087	26.542718107708787	26.670695767331058	26.70210381051723	26.609764461321205	26.37878197995197	26.66628911964512	26.59494304823509	26.577446206573512	26.632522776863446	26.379686432486483	26.698044522519403
O14562	24.608873908813187	24.864011720148692	24.848467249081114	25.03981827366684	24.85826934433692	24.88959054508703	NA	24.83378372214025	24.722891702870665	24.94073535072917	24.719309483799883	24.729007076435327	24.954311394957035	24.281417496304897	24.701625290014473	24.502945954684016	24.80057335849923	24.721868901118086	24.63385567294828	24.413700395954198
O14579	28.14378407138896	28.08168312248085	28.039033655990455	27.870672381728028	28.040175715519997	27.991399873959878	27.732013077806997	27.812446139174558	28.085149797206906	28.10491701861873	28.04434043260954	27.77809002567477	28.044854939736386	28.020155776652818	27.909400630855764	27.77212340344409	28.054208560968778	27.938899354528296	27.85434459900641	27.767353363861588
O14617	26.133753359291497	26.02950749048311	26.089161663034805	26.09914581480228	25.923938444310135	25.898633393968883	25.730968954688848	26.100824390009592	26.04178705725623	26.219249979801095	26.037346963709446	26.152458251790247	26.200812095174	26.200013251290866	26.139416849629576	25.92236266527542	25.92542537984913	26.30259595714399	26.273707580269914	26.172174746423117
O14618	24.208906524509874	24.55024025892817	24.36034084573391	24.24974217698402	24.625151907232336	24.538448316354852	24.13623313785855	24.177802736205038	24.640841208469006	24.652791589439975	24.760824272606563	24.113347778491253	24.900719351486302	24.672952107938734	24.574492238439273	24.24281916593076	24.591963826766168	24.45920473260312	24.445821184997925	24.218834196017287
O14639	25.23837298987934	25.09605300589417	24.9712886654988	25.04237787522026	25.08502156900064	25.059953262039393	24.964139956789097	24.925657656977638	24.956552333053445	24.961824896982392	25.358265369951287	25.230797489470067	24.873038171655843	24.916399288750938	24.9158184011641	24.715296292593692	24.585635944964377	25.193437044921026	24.807189446365747	25.15316831163192
O14672	26.159862915348125	26.139267624033426	26.054331823825546	26.137527456647664	25.83177254219702	25.959237925488246	26.219154508473864	26.20973799898776	26.107937808755608	25.96279628989721	25.88351971981797	25.96193338028503	26.06716605218447	26.048276111045297	25.823041249115285	26.096740452458977	25.715701643115207	25.839037378761535	26.316604204879944	26.06277576484578
O14683	25.692641435127175	25.74034489536314	25.58943641440789	25.14530601394806	25.600406760846163	25.378514658021036	25.279647135655992	25.05721144674387	25.208840772595348	25.209480396166935	24.80807553214524	25.20970832661132	25.053675163457264	24.73490675668919	24.837438936226416	24.8780002447918	25.15524088322768	25.71537432018045	NA	25.25803935355179
O14737	29.527765282130954	29.539211148578467	29.464382490095684	29.59889109371612	29.42907611016076	29.50877204212059	29.450176149488243	29.456744687603624	29.447081991772055	29.48304398986562	29.477603339070072	29.50344737602019	29.53876113583722	29.462237527566828	29.416464704978534	29.464234088556523	29.487312082825916	29.46796058988049	29.50087647723157	29.418905896743833
O14744	27.996404755814552	27.939579423081486	28.055999730892946	27.9811076235327	27.970815416837798	27.976541252301576	27.968875067583763	28.05515025765752	27.94558257167216	27.83256292921661	27.900439838117695	27.99807475044553	27.989038039331398	27.850766222542326	27.877468981667977	28.016154162131215	27.873297589384585	28.04401479417024	27.754385715862703	27.89749522310651
O14745	27.44429397961165	27.336507313572422	27.379179955623055	27.471951655431017	27.320815071940267	27.349396960019188	27.37942367990466	27.193544893974984	27.34226306190335	27.321720268444093	27.271273663850174	27.38541518371056	27.246394132922678	27.37890040490247	27.199302284016724	27.2322758522468	27.125899544700943	27.364264994429885	27.306842563091912	27.202298496953475
O14773	27.05395318208462	26.754711279401345	27.060972254427025	27.000313815653712	26.927340163313072	26.72949638285335	26.924831055014188	26.903299569625666	26.900341913178124	26.80334387139032	26.88626563248873	26.90780384789071	26.782255926633294	26.832908351584752	26.6911743393524	26.983435614109922	26.80543633673022	26.604842326330687	27.11032696976019	26.897854325794334
O14776;Q5VWI1	26.406383265717967	26.441200081404084	26.349259482115514	26.278948394318252	26.02595616297859	26.13657735133237	26.18266681896356	26.306127627457624	26.51313224788498	26.50312740268039	26.415778994431506	26.364911248957917	26.280873200348076	26.688732921554344	26.098852219814987	26.41666099631005	26.4179023524896	26.30819210124112	26.484148321987576	26.464282594703473
O14786	25.582286108134433	25.476897200457795	25.237589885883978	25.598021410898202	25.01356278366353	25.683333484698043	25.554346139948624	25.59912613313639	25.655172961733832	25.371962357409068	25.42121043780008	25.34120562743053	25.306773715891527	25.509652049892342	25.853141103164045	25.481795014019642	25.426996634520307	25.66500218597274	25.295288046375834	25.163121142194875
O14818;Q8TAA3	30.312693375018448	30.161700788514665	30.31549123436364	30.30402556068249	30.180476968086374	30.12915080043667	30.18298883370546	30.26749931730128	30.13896534264523	30.169210384094207	30.11560006519285	30.316221487985494	30.090357394754328	30.106744251443523	30.262342059343517	30.245235663856754	30.168013551299325	30.182493056741265	30.223082660779646	30.25431414725024
O14828	28.288964131288893	28.224935774524493	28.252824600560476	28.257990016476313	28.35361782915861	28.193261102556207	28.188406292172395	28.191281407702967	28.30449864127654	28.240396472949627	28.277320830369636	28.087243898641777	28.373701889566725	28.18722169784549	28.345791968186905	28.14833060605204	28.23095120255741	28.221794811790044	28.29847568177291	28.161307571822938
O14907	26.35992350238923	26.223298047388425	26.21079939322109	26.27940617475709	26.143771913124795	26.280803636752204	26.422839468251507	26.464695511644656	26.23981608732011	26.204019977097918	26.07704253254205	26.221530339223776	26.046394154281373	26.273959253075212	26.579206002319218	26.353909965780865	25.971963838721898	26.196300976082604	26.174190363883582	26.291149422824837
O14908;Q8TF64	27.01930393814494	27.046781116446127	27.101963694612735	27.009438662804328	26.923671303296334	26.96794265083804	26.96047374856127	27.01502058173635	26.998753230693495	26.986002507138856	26.92979977157679	27.08109427243687	27.06243129808008	26.983354539723962	26.880309865502042	26.914873772139742	27.083843396750378	26.90608653353926	26.874748729587623	26.93226919237003
