LFQ intensity 11_pTa	LFQ intensity 12_pT2+	LFQ intensity 15_pT2+	LFQ intensity 16_pTa	LFQ intensity 17_pT2+	LFQ intensity 19_pTa	LFQ intensity 3_pTa	LFQ intensity 9_pT2+	C: Only identified by site	C: Reverse	C: Potential contaminant	C: Welch's T-test Significant pTa_pT2+	C: Welch's T-test significant	N: Peptides	N: Razor + unique peptides	N: Unique peptides	N: Sequence coverage [%]	N: Unique + razor sequence coverage [%]	N: Unique sequence coverage [%]	N: Mol. weight [kDa]	N: Q-value	N: Score	N: Intensity	N: MS/MS count	N: Welch's T-test p-value pTa_pT2+	N: Welch's T-test q-value pTa_pT2+	N: Welch's T-test Difference pTa_pT2+	N: Welch's T-test Test statistic pTa_pT2+
23.9493	23.3369	23.6856	23.4773	21.5386	23.3456	24.0889	23.257						10	10	10	27.2	27.2	27.2	52.494	0	39.182	93856000	76	0.215834	0.812787	0.760773	1.48141
26.6157	27.146	27.0279	27.1938	26.9408	26.6994	26.7722	26.6769						32	31	31	50	50	50	72.332	0	323.31	1032200000	912	0.464097	0.888613	-0.127666	-0.784994
25.8361	24.9008	25.9826	23.5784	22.2305	23.0558	24.4437	24.4139						36	36	36	27.8	27.8	27.8	177.6	0	323.31	236890000	239	0.882877	0.982805	-0.153422	-0.154133
28.2918	27.7102	28.2278	28.2306	28.1432	27.7197	28.2845	27.7412						33	33	22	50.9	50.9	36.8	70.897	0	323.31	2407700000	1394	0.395319	0.876995	0.176084	0.915384
22.0287	23.9729	21.7567	24.2603	25.7974	25.022	21.6265	23.812						10	10	9	15.7	15.7	14.4	54.083	0	83.775	155110000	166	0.626725	0.906675	-0.600348	-0.512333
20.1488	19.7735	20.3137	20.2755	21.8152	20.8047	19.456	19.5966						4	4	4	11.7	11.7	11.7	52.221	0	11.944	15306000	7	0.73888	0.947266	-0.203521	-0.353836
21.526	20.1087	21.2719	21.6239	21.0313	20.0165	21.2055	19.8344						5	5	5	14.8	14.8	14.8	39.233	0	10.214	13821000	10	0.336228	0.830308	0.531364	1.04544
22.1506	22.9143	22.4988	23.1981	24.7791	19.8507	22.6206	19.4769						24	19	18	36.4	30.2	28.4	96.695	0	118.23	77115000	55	0.739993	0.946729	-0.462255	-0.349998
20.735	20.6783	20.8341	20.4757	20.84	20.1069	19.3859	19.42						3	3	3	17.5	17.5	17.5	23.567	0	8.2355	9724500	13	0.575835	0.898255	-0.267245	-0.592216
22.188	25.4043	23.1787	23.4086	22.6758	19.7036	23.7337	23.5385						5	5	5	12.2	12.2	12.2	44.882	0	26.505	108400000	41	0.242185	0.80562	-1.44087	-1.3207
21.5159	22.398	21.6223	21.6218	22.0939	19.9984	19.6169	20.7011						9	9	9	14.2	14.2	14.2	90.725	0	23.937	22951000	34	0.165351	0.767414	-1.01563	-1.60148
19.6686	24.9766	22.3924	21.5569	23.0764	19.283	20.8258	19.9391						17	17	17	38.4	38.4	38.4	59.256	0	75.765	56095000	62	0.117204	0.764198	-2.26256	-1.94229
23.4055	22.6195	22.4919	23.0755	24.0799	19.9991	23.0613	23.0121						17	17	17	20.4	20.4	20.4	101.56	0	85.068	78948000	79	0.488517	0.893761	-0.665507	-0.758944
18.6406	24.0715	23.8854	21.8194	20.7054	20.0629	22.9329	23.285						18	15	15	28.7	25.5	25.5	81.04	0	66.246	56936000	81	0.136092	0.756825	-2.1229	-1.73065
24.0557	24.543	25.0296	24.1993	24.0204	22.8137	24.3385	23.2394						13	13	13	36.4	36.4	36.4	39.724	0	51.781	161000000	130	0.518549	0.87889	-0.356289	-0.685947
19.2471	21.8541	21.3933	21.3222	20.7264	19.8863	21.7391	20.9843						7	7	2	30.2	30.2	10.1	34.769	0	15.2	18760000	20	0.339192	0.833362	-0.690825	-1.08351
24.6585	24.6068	24.9887	24.9989	24.4827	24.3424	24.1831	24.5754						22	22	12	39.6	39.6	20.4	70.67	0	184.13	226000000	248	0.60313	0.901875	-0.117655	-0.554482
23.1879	23.9536	24.4623	23.5634	24.6185	21.5836	22.715	23.4244						10	10	10	47.1	47.1	47.1	28.768	0	107.3	118160000	114	0.0441772	0.668429	-1.35223	-2.66422
21.2402	20.9335	21.2532	21.7193	19.5872	20.0124	19.1594	20.4009						7	7	7	13.8	13.8	13.8	57.41	0	20.319	17786000	15	0.987973	0.999715	-0.0108719	-0.015836
27.9079	27.4946	28.5951	25.58	24.2148	24.7144	26.7153	27.9151						24	24	24	33.2	33.2	33.2	108.53	0	323.31	1375500000	650	0.518211	0.879256	-0.825526	-0.690704
26.9317	27.4298	28.0091	24.5482	23.3322	23.0528	25.8068	27.4469						18	18	18	20.7	20.7	20.7	108.58	0	271.98	894160000	469	0.326074	0.829067	-1.46964	-1.07541
29.3063	29.4418	30.3838	27.2572	26.1012	26.7966	28.4114	29.9986						114	114	114	46.1	46.1	46.1	343.67	0	323.31	4819900000	2751	0.402535	0.875684	-1.03845	-0.917519
20.4141	20.5973	20.5043	20.6331	19.3282	19.6078	20.9781	19.6088						12	4	4	47	14.1	14.1	33.064	0	8.4077	10089000	13	0.391196	0.876423	0.398601	0.924432
22.6252	23.3033	22.587	23.1968	22.0546	22.9072	22.2637	21.9973						13	5	2	48	23.8	6.4	32.866	0	35.513	56134000	91	0.500373	0.886846	0.262689	0.724069
22.3873	21.9403	21.4413	23.329	24.7366	22.4748	22.8753	23.1288						14	14	14	34.4	34.4	34.4	55.804	0	73.729	85846000	89	0.956044	0.991318	-0.0451732	-0.059144
19.953	20.4852	21.1499	21.5835	21.1449	20.4766	22.019	21.2495						10	10	10	5	5	5	267.29	0	31.132	18553000	19	0.999031	1	0.000660896	0.00129628
22.5037	21.4641	20.9593	22.342	25.0349	23.4531	21.2208	22.5463						14	14	13	40	40	38.6	47.036	0	96.732	81180000	89	0.910226	0.979046	-0.121241	-0.119333
19.8848	21.331	21.1299	19.9321	19.3467	20.081	21.4235	20.4381						3	3	3	25	25	25	18.385	0	12.762	11310000	9	0.704051	0.93797	-0.231095	-0.399249
25.0944	25.7256	26.3196	24.4521	24.5378	23.3581	25.1806	24.5794						44	27	27	60.4	41.1	41.1	103.06	0	227.36	303300000	274	0.253026	0.800442	-0.769312	-1.26453
22.8397	23.8644	22.0728	23.215	23.5947	23.4568	23.0254	23.4275						11	11	11	15.2	15.2	15.2	97.455	0	75.692	86696000	87	0.815191	0.966259	-0.105628	-0.251163
22.5546	20.9513	22.4296	24.1581	21.2062	21.1873	21.7385	21.3715						12	12	11	26.5	26.5	25	59.834	0	40.388	48664000	33	0.266579	0.799822	0.919955	1.27062
21.5966	23.8737	22.3956	21.6294	21.4661	21.2827	23.8499	20.7379						14	14	14	38.3	38.3	38.3	54.548	0	40.364	47656000	40	0.975618	0.994231	-0.0286541	-0.0318812
25.7688	25.1859	25.7408	25.7595	26.0912	25.4005	25.1312	25.6505						26	26	26	50.4	50.4	50.4	69.842	0	187.92	450000000	398	0.553388	0.891056	-0.152068	-0.628894
25.2258	24.5861	24.9057	25.2984	25.618	24.0608	24.7828	25.006						27	27	27	49.2	49.2	49.2	82.704	0	129.9	303430000	291	0.620358	0.904407	-0.187006	-0.524019
24.4031	24.7404	23.7011	24.6815	23.4654	24.4306	24.7428	24.8731						6	6	6	36.1	36.1	36.1	19.576	0	49.424	190010000	140	0.381999	0.867224	0.369507	1.00474
20.5274	21.9415	20.3447	20.5506	20.4982	19.7323	20.4938	20.1591						4	4	4	8.8	8.8	8.8	44.96	0	16.882	11766000	30	0.413357	0.887921	-0.409875	-0.903937
24.1856	23.1708	23.6301	24.2199	23.8437	23.2805	24.1437	23.3406						14	14	14	44.3	44.3	44.3	49.973	0	86.974	128950000	116	0.147519	0.751568	0.461145	1.70024
19.0688	22.0239	27.0429	19.9442	19.1093	21.0898	23.1971	21.5629						17	17	17	6.1	6.1	6.1	372.82	0	149.29	151020000	94	0.436063	0.8791	-1.6098	-0.852598
27.1957	27.5071	27.6357	27.762	27.6321	26.7677	26.5959	27.0824						45	45	44	63.5	63.5	62.4	95.337	0	323.31	1447700000	979	0.250966	0.802404	-0.383981	-1.31994
23.9185	24.0939	24.1753	23.6219	26.616	23.1949	23.4799	23.7582						24	19	18	46.7	42	40.4	58.826	0	323.31	245180000	133	0.190843	0.780929	-1.10706	-1.64025
27.6383	26.3058	24.934	25.544	26.6653	28.5571	24.1838	28.8476						29	25	14	57.9	50.4	31.2	49.588	0	323.31	1317500000	681	0.876925	0.986714	-0.207356	-0.161871
23.2734	24.3757	22.9087	24.6086	26.1333	24.2439	24.3222	27.5886						30	25	20	46.4	42	32.9	62.378	0	323.31	457350000	211	0.35148	0.837478	-1.13957	-1.07415
25.8304	25.7435	25.8668	26.3643	25.8037	25.549	25.8379	25.525						31	31	31	50.1	50.1	50.1	72.932	0	210.84	523140000	393	0.434498	0.882311	0.160657	0.865346
20.8594	21.1984	20.9141	23.4013	19.7867	18.9995	20.9353	19.4874						10	10	10	23.2	23.2	23.2	61.049	0	42.132	22160000	19	0.517286	0.879663	0.702245	0.705725
22.92	24.1493	22.7919	23.8464	23.1203	24.7246	23.5656	23.5574						7	7	7	51.2	51.2	51.2	19.595	0	36.051	108620000	102	0.48009	0.891148	0.359399	0.755526
19.4083	22.5643	22.6934	20.9111	20.5671	20.1157	19.5244	21.8815						3	3	3	15.8	15.8	15.8	25.205	0	13.377	20354000	20	0.0203537	0.608308	-1.9367	-3.24889
20.5933	25.2896	20.0094	19.5108	19.4675	20.9848	22.7509	20.8258						8	8	4	38	38	18.8	30.112	0	48.721	48380000	39	0.781663	0.955156	-0.438113	-0.294429
23.7543	26.7781	25.6815	26.1368	24.9781	25.8401	25.9995	24.8195						30	30	25	55.8	55.8	48.8	70.288	0	258.49	446280000	411	0.86091	0.983402	-0.131596	-0.183295
23.7746	25.1523	24.5465	23.96	23.0459	22.3465	23.8603	24.4074						24	19	19	44.4	37.5	37.5	70.81	0	120.28	152020000	175	0.220741	0.812125	-0.802638	-1.37025
22.5996	21.5468	21.2044	22.8467	21.7544	19.2723	23.3969	21.9883						12	12	12	18.6	18.6	18.6	81.224	0	50.868	43407000	55	0.696312	0.934694	0.405399	0.427397
24.0954	23.755	22.8967	24.1216	23.885	21.9791	24.0061	23.056						11	11	11	47.1	47.1	47.1	35.079	0	64.931	114090000	107	0.804905	0.961039	0.152348	0.262796
21.571	20.6131	20.5731	20.9875	20.9717	21.6918	18.9543	19.6249						8	8	8	27	27	27	45.518	0	23.764	18404000	21	0.635687	0.913284	0.355454	0.510141
22.419	23.4555	21.6857	23.787	26.5118	23.1134	24.0205	25.4383						16	16	2	58.1	58.1	11	36.881	0	259.65	246480000	150	0.456683	0.885657	-0.937886	-0.830745
22.6221	19.9447	22.5995	22.8748	21.7681	20.445	23.8437	22.1748						3	3	3	25	25	25	14.177	0	14.679	49032000	17	0.408371	0.883359	0.824611	0.891418
19.3576	22.8099	18.7135	19.5914	19.3709	25.7663	26.4314	23.9616						3	3	3	35.7	35.7	35.7	12.476	0	48.4	178750000	105	0.524426	0.884856	1.57271	0.681668
24.835	25.2331	24.9008	25.3623	24.5614	24.9179	25.3486	25.1707						14	14	14	25.9	25.9	25.9	59.425	0	124.21	290410000	206	0.497736	0.885451	0.149428	0.721912
20.9763	22.2426	21.2664	21.6847	22.51	20.2236	20.4291	20.3597						5	5	5	14.3	14.3	14.3	48.275	0	17.524	23324000	27	0.248115	0.79929	-0.766267	-1.29972
22.1539	21.9784	21.5375	19.364	20.4191	22.2291	22.9458	20.2139						2	2	2	27.7	27.7	27.7	9.3959	0	41.696	26776000	40	0.51317	0.880742	0.635962	0.707784
24.7686	18.6082	24.6486	22.2443	20.347	21.2853	20.0231	22.4097						17	16	16	16.1	15.3	15.3	136.38	0	79.511	73352000	81	0.738845	0.948187	0.57693	0.350292
23.8788	23.4659	24.3086	23.9695	24.7875	23.3667	23.9852	22.6702						16	16	16	60.3	60.3	60.3	36.573	0	84.659	140680000	164	0.987822	1	-0.00800943	-0.0163531
27.8896	28.0701	27.9562	28.9123	28.6198	28.6442	29.1386	28.1793						31	31	31	64.4	64.4	64.4	57.936	0	323.31	3175000000	1749	0.217757	0.805949	0.439808	1.42789
27.0769	26.8151	27.0153	27.3498	26.8858	27.3454	26.614	27.097						37	35	35	47.1	45.3	45.3	92.468	0	323.31	1099800000	774	0.482567	0.891803	0.143257	0.777433
21.7043	21.6217	21.9496	22.012	22.4605	20.1578	21.5182	21.8122						7	7	7	24.6	24.6	24.6	24.614	0	20.012	33009000	56	0.240595	0.803313	-0.612938	-1.37047
23.1984	21.3401	22.1463	22.0465	21.0699	22.1222	24.1408	19.346						4	4	4	58.1	58.1	58.1	10.192	0	29.919	46111000	41	0.0497918	0.682349	1.90143	2.46717
25.1597	23.3337	25.1671	24.8893	24.928	23.532	23.8036	24.4191						16	16	15	46.7	46.7	45.5	64.132	0	121.28	218240000	176	0.845738	0.980053	-0.115858	-0.203146
23.6821	23.7082	23.8871	24.5189	23.3012	23.3327	23.8181	23.3158						19	19	19	41.3	41.3	41.3	57.136	0	74.867	117010000	91	0.370208	0.847312	0.284894	0.987325
24.2421	25.369	23.8494	24.2105	25.8746	24.4337	24.6656	25.6908						29	29	24	52.3	52.3	45	81.744	0	304.08	298870000	354	0.177273	0.780984	-0.807924	-1.70945
22.8702	21.6996	21.6356	22.1612	21.4765	21.199	24.1021	22.6189						6	6	6	55	55	55	13.53	0	44.621	53045000	61	0.335089	0.831616	0.725511	1.09352
23.4178	24.4727	23.7793	24.9299	24.4479	23.4383	23.4876	25.039						12	12	12	50	50	50	35.853	0	46.956	180430000	114	0.226854	0.805498	-0.616294	-1.36505
18.9912	22.1202	21.5585	21.1554	20.9685	19.1382	21.3405	20.504						6	6	6	13.2	13.2	13.2	55.755	0	14.936	17186000	13	0.182249	0.786458	-1.13148	-1.56446
25.6406	25.8361	26.0386	26.7085	26.3993	26.7774	26.9425	25.8012						28	28	19	41.3	41.3	30.5	69.412	0	290.58	674440000	664	0.197783	0.788637	0.498445	1.52649
22.685	20.0697	20.7092	22.3528	22.3432	19.9659	22.6183	21.2881						7	7	7	44.8	44.8	44.8	26.182	0	20.832	32101000	39	0.362885	0.840407	0.802938	0.991284
26.3534	19.4839	20.1545	24.102	19.0777	24.5929	25.7232	19.218						12	12	12	65	65	65	28.977	0	281.32	188700000	128	0.000408923	0.348	5.70934	10.062
26.5405	26.8788	26.4096	26.301	26.4559	26.4617	26.2264	26.49						10	10	5	70.4	70.4	39.5	17.149	0	78.468	802710000	463	0.230437	0.806845	-0.176158	-1.357
22.213	22.7017	20.4278	21.8746	20.888	22.8036	21.82	19.8181						5	5	5	21.9	21.9	21.9	30.867	0	27.702	24953000	33	0.142954	0.753346	1.21891	1.84479
24.8849	24.8464	24.6137	24.9309	25.1806	24.8686	23.9354	24.4713						11	11	11	44.4	44.4	44.4	31.324	0	111.32	247860000	184	0.684217	0.9274	-0.12309	-0.43067
18.836	25.8222	20.8755	21.0458	27.708	18.3871	20.4505	26.6382						94	94	94	38.3	38.3	38.3	331.77	0	323.31	475140000	389	0.0269116	0.677375	-5.58115	-3.40315
21.3226	22.7307	18.5744	22.0377	18.8374	20.2082	21.3403	19.7298						5	5	5	7.3	7.3	7.3	81.537	0	18.323	24553000	35	0.288181	0.808483	1.25913	1.22749
22.2765	19.7223	21.4296	22.5964	20.2926	20.6451	21.6515	19.8779						10	10	10	8.4	8.4	8.4	202.16	0	29.346	20514000	13	0.0450368	0.669123	1.46182	2.53157
23.7056	23.5011	23.2078	23.735	23.8479	23.5543	23.8114	22.1926						13	13	11	60.6	60.6	50.2	30.375	0	144.24	100690000	146	0.245262	0.79388	0.514184	1.42627
26.6443	27.1364	26.2828	26.3458	26.6054	26.0525	25.2695	27.2896						9	8	8	27	23	23	22.58	0	95.641	839100000	345	0.0958481	0.72815	-0.750541	-1.99304
27.2513	28.0602	27.1615	27.3734	27.3943	27.2527	27.4775	28.328						10	10	2	33.8	33.8	11.7	21.364	0	105.95	1697500000	536	0.244072	0.80472	-0.397317	-1.42118
21.5014	23.8561	21.4439	21.9631	24.7533	19.9374	20.4877	22.5767						20	20	20	32.5	32.5	32.5	76.689	0	78.587	74497000	78	0.0509603	0.66703	-2.18514	-2.54077
24.7272	24.6742	24.3806	25.1381	25.567	24.5166	23.7003	24.7142						29	29	29	31.9	31.9	31.9	114.76	0	248.75	255620000	217	0.459294	0.886365	-0.313476	-0.792062
23.011	20.4562	20.538	23.3024	21.5167	19.933	18.5446	19.2948						3	3	3	23.4	23.4	23.4	11.676	0	34.97	40336000	62	0.58428	0.896037	0.746389	0.595741
20.4537	20.1784	20.8532	22.0277	20.0333	19.4087	19.05	21.1879						6	6	6	5.3	5.3	5.3	129.29	0	11.364	11617000	6	0.673021	0.928472	-0.328158	-0.454657
20.7967	22.8318	21.5989	21.5546	22.4901	19.5952	21.475	19.1218						4	4	4	13.1	13.1	13.1	40.622	0	13.162	27741000	15	0.524455	0.883723	-0.655234	-0.688028
20.0866	20.7159	20.9549	21.9977	21.4766	20.4507	20.424	19.9589						5	5	5	9.7	9.7	9.7	79.994	0	11.882	16286000	14	0.94717	0.989642	-0.0368304	-0.0693293
20.7306	26.922	20.3427	21.7732	19.3095	19.1374	24.3215	20.3719						24	20	20	47.4	41.1	41.1	53.535	0	209.06	149470000	101	0.909517	0.979049	-0.245838	-0.119491
23.2145	23.4898	24.0959	23.7965	24.0925	21.6594	22.138	22.7316						19	10	10	31.9	17.9	17.9	69.147	0	64.679	96936000	98	0.182754	0.784242	-0.900335	-1.53648
22.7392	23.193	23.3637	24.206	24.0941	24.2122	24.3397	23.5531						18	16	15	27.3	23.7	22.6	85.018	0	114.42	122260000	111	0.486766	0.891694	0.323294	0.757209
25.5917	24.0358	23.2481	24.0567	25.0372	23.6779	26.8072	24.714						6	6	6	25.2	25.2	25.2	26.152	0	39.97	312150000	186	0.392959	0.876241	0.774608	0.940863
22.3185	20.0135	22.9652	23.322	22.9373	22.3991	22.4887	22.273						9	9	9	30.5	30.5	30.5	49.203	0	31.578	54250000	47	0.47425	0.888217	0.584807	0.79638
24.5411	24.4553	24.199	24.8771	24.5593	24.6628	24.5878	24.7318						23	23	23	49.6	49.6	49.6	60.343	0	104.51	215660000	205	0.232587	0.805941	0.180832	1.34983
22.6079	22.5067	22.6383	23.0335	22.8158	21.7651	19.5854	22.628						3	3	3	20.9	20.9	20.9	12.538	0	11.335	52063000	44	0.326306	0.828452	-0.899196	-1.16757
22.7354	23.1512	23.0779	23.6831	23.2143	22.6742	23.154	23.1746						10	6	6	64.4	35.6	35.6	20.511	0	38.876	80857000	116	0.718243	0.945904	-0.0928202	-0.395431
25.4492	25.8689	25.3565	25.9307	25.9404	24.157	24.3136	25.0879						14	14	14	49.2	49.2	49.2	29.225	0	88.303	393700000	262	0.273491	0.79768	-0.600766	-1.25529
26.7784	25.9792	26.3024	25.9049	24.114	25.7431	26.8143	26.0697						46	46	46	49.6	49.6	49.6	123.8	0	323.31	602150000	491	0.287623	0.810078	0.69387	1.19822
21.9154	21.7822	18.9156	19.6265	22.2121	19.993	22.9228	20.3284						4	4	4	33.9	33.9	33.9	20.055	0	31.979	25127000	33	0.788103	0.952704	0.30486	0.28109
24.2553	24.2731	23.9133	23.9792	24.1925	20.5367	22.9156	23.8893						9	9	9	45.7	45.7	45.7	21.397	0	38.202	130150000	162	0.269032	0.7971	-1.14537	-1.34527
26.3309	25.8562	26.1492	27.6363	26.0561	26.2584	26.6881	25.7452						14	14	14	71.3	71.3	71.3	28.804	0	191.3	788020000	362	0.087416	0.733379	0.776775	2.35421
22.1771	21.3784	21.8736	21.6915	21.6589	20.3432	19.972	22.254						6	6	6	18.3	18.3	18.3	44.969	0	13.634	27474000	15	0.258322	0.797856	-0.745263	-1.33275
22.7367	20.0407	21.4633	21.7251	24.6461	23.9592	24.1261	22.9874						6	6	6	18.1	18.1	18.1	32.461	0	108.11	93740000	77	0.489841	0.892492	0.852381	0.747868
22.8046	20.9473	21.17	21.3784	21.3079	20.4221	23.2893	19.1887						3	3	3	44.4	44.4	44.4	12.587	0	11.086	29488000	15	0.16325	0.764356	1.3201	1.60578
25.8564	24.96	25.9997	26.1745	26.8621	25.171	24.9768	26.1635						21	21	21	27.7	27.7	27.7	76.613	0	243.15	565490000	316	0.389957	0.876925	-0.45164	-0.933755
25.083	25.1996	23.6599	24.71	23.9981	24.5629	24.7642	24.9882						30	30	28	35.6	35.6	33.5	102.48	0	173.84	230150000	288	0.465614	0.889983	0.31857	0.817203
20.1529	19.5724	20.139	20.0662	19.6908	19.3784	21.743	19.751						2	2	2	9.2	9.2	9.2	27.391	0	8.0635	9488200	10	0.35869	0.834662	0.546811	1.06163
22.1257	20.8681	21.5062	22.5167	22.3548	19.5346	22.3062	22.0773						5	3	3	26.4	17.9	17.9	23.602	0	10.557	34661000	43	0.921538	0.986707	-0.0807986	-0.104454
23.1223	19.6596	24.1489	21.8304	21.0728	22.0973	19.3218	23.6325						12	12	12	16.6	16.6	16.6	106.46	0	49.833	53045000	39	0.703044	0.9397	-0.535477	-0.401342
22.2594	21.7962	24.7399	22.1465	21.1316	22	22.8214	23.4473						9	9	9	13	13	13	101.39	0	81.559	67270000	56	0.608054	0.900727	-0.471907	-0.565444
19.2714	24.2757	24.1192	20.9487	24.4228	19.6977	22.1376	19.9085						13	13	13	33.6	33.6	33.6	49.955	0	69.342	74659000	78	0.0911643	0.715873	-2.66768	-2.09998
21.4491	20.4032	21.6424	18.7799	21.5492	19.767	21.4482	21.3367						7	7	7	23.4	23.4	23.4	38.388	0	16.361	22014000	14	0.290267	0.809074	-0.871844	-1.21434
22.2283	22.8825	22.3079	22.5129	21.8368	23.1148	22.6706	22.7305						11	10	10	26	24.8	24.8	52.739	0	43.173	45785000	66	0.545353	0.889703	0.192238	0.642811
21.0376	22.4814	20.7656	21.4223	21.0427	20.2636	21.5949	20.7817						5	5	5	21.5	21.5	21.5	30.515	0	18.025	16825000	19	0.723447	0.947929	-0.188249	-0.372636
24.0148	24.0341	23.6954	24.4071	23.8081	23.7748	23.9969	24.4759						9	9	9	44.2	44.2	44.2	23.593	0	39.295	156360000	101	0.842902	0.982129	0.0450172	0.207567
23.1813	22.5559	23.1371	22.9201	23.0069	19.7451	22.5459	19.9247						6	6	6	32.8	32.8	32.8	26.489	0	36.466	55197000	43	0.959447	0.993459	-0.0580955	-0.0530128
22.9759	22.0765	22.6936	22.7095	22.2393	19.7548	24.445	23.0255						5	5	5	52	52	52	16.762	0	24.491	68002000	48	0.972459	0.994031	-0.0374413	-0.0372143
25.3525	24.7796	25.552	25.4137	25.2922	24.0576	24.5047	25.6768						25	24	24	52	50.7	50.7	66.408	0	217.31	338880000	220	0.258771	0.798404	-0.493021	-1.27657
19.6374	24.4519	22.5194	19.1823	20.6435	19.4953	22.9987	21.4869						9	9	9	32.6	32.6	32.6	33.922	0	45.165	39002000	37	0.160361	0.781292	-1.94702	-1.60329
23.937	23.3855	23.0554	23.6965	23.6781	23.2754	25.8849	23.0203						15	15	15	34.7	34.7	34.7	76.572	0	111.21	148620000	107	0.213348	0.809199	0.913636	1.52556
27.9258	26.0056	24.6323	28.0754	25.6198	28.1021	26.6972	20.9361						20	20	19	72.4	72.4	72.4	26.559	0	323.31	1006900000	663	0.0556394	0.720696	3.40166	2.82198
22.9269	22.8584	23.856	22.7016	22.5986	23.1805	23.9021	22.4209						6	6	6	50.3	50.3	50.3	20.567	0	38.638	75149000	61	0.576615	0.897899	0.244255	0.591544
28.0783	28.5805	28.8599	26.9604	26.261	26.2319	27.7691	27.7214						106	106	96	57.3	57.3	53.3	280.74	0	323.31	1951200000	1440	0.441075	0.88036	-0.595838	-0.830926
23.7968	24.3248	22.5763	23.3457	23.1448	24.3388	23.9818	24.3182						12	12	10	25.8	25.8	23.5	59.681	0	49.742	123170000	126	0.598611	0.902132	0.274726	0.567892
20.3095	21.4437	21.8569	20.7776	21.4687	20.899	19.8235	19.5742						6	6	6	7.4	7.4	7.4	98.398	0	16.019	10836000	12	0.323306	0.831092	-0.633493	-1.11475
26.3235	24.7149	25.304	25.8483	25.5835	25.0154	26.3574	25.9308						15	15	15	68.6	68.6	68.6	30.772	0	156.37	490680000	396	0.262057	0.806402	0.502892	1.2425
24.7038	24.7849	26.0996	23.0873	21.6981	22.946	24.714	24.982						12	12	11	37.5	37.5	35.3	41.654	0	103.73	211080000	156	0.642316	0.91361	-0.528366	-0.497242
22.775	19.4511	22.0718	22.6449	21.2452	19.8524	21.7895	20.2069						8	8	8	32.1	32.1	32.1	31.629	0	27.411	28614000	25	0.293914	0.807122	1.02166	1.15268
23.6564	23.6049	22.1812	23.5217	23.626	19.8711	23.6766	23.7119						5	5	5	20.6	20.6	20.6	25.416	0	24.67	100490000	39	0.584357	0.895272	-0.599536	-0.595473
24.0834	20.3111	22.6051	24.1766	23.89	23.6581	23.6358	23.4085						12	12	12	49.8	49.8	49.8	30.037	0	58.337	107850000	91	0.190673	0.786201	1.33479	1.65706
23.7376	24.6056	26.7502	23.3444	22.9159	21.2968	23.6844	23.3322						25	25	25	43.8	43.8	43.8	77.328	0	197.38	191670000	118	0.237115	0.804782	-1.38521	-1.33398
20.5135	20.5917	21.4227	21.4906	22.2089	21.3653	20.8302	19.8524						5	5	5	9.3	9.3	9.3	89.42	0	10.698	18009000	13	0.95838	0.992603	0.0309763	0.0553966
20.9544	20.5232	21.2005	21.3583	21.8587	22.2433	21.6132	19.231						4	4	4	22.5	22.5	22.5	24.636	0	21.44	25366000	19	0.244466	0.801554	0.838953	1.34653
24.0638	21.4041	23.1037	23.3358	24.5632	20.6013	22.2954	22.9347						9	9	8	34	34	30.5	33.784	0	52.112	93453000	89	0.681571	0.928955	-0.427334	-0.431405
21.6409	21.7655	22.5062	22.4087	21.9342	21.2319	21.5344	22.6149						10	10	10	10.7	10.7	10.7	107.77	0	29.74	39565000	26	0.17693	0.781208	-0.501248	-1.53624
23.296	21.2399	23.5248	23.8264	23.184	21.1427	22.5236	23.2183						13	13	13	40.9	40.9	40.9	47.079	0	33.693	76198000	88	0.907865	0.98051	-0.0945888	-0.120765
21.9977	22.1689	21.8466	22.3272	20.8454	23.0564	22.5942	20.4137						7	7	7	14.6	14.6	14.6	58.993	0	14.598	35184000	35	0.0582431	0.713096	1.17523	2.50325
26.4601	25.7715	28.2246	26.4727	25.8587	25.8612	26.333	25.3848						36	36	36	50.9	50.9	50.9	117.85	0	323.31	831090000	539	0.968559	0.992692	-0.0281353	-0.0424828
24.5388	25.1942	24.6908	24.8797	24.8723	24.8384	24.2088	24.0813						10	5	5	70.4	39.5	39.5	17.298	0	25.7	235460000	195	0.752901	0.946559	-0.0932326	-0.331863
22.424	20.1703	21.1649	21.1136	23.4118	21.2728	19.9545	21.0004						9	9	9	21.4	21.4	21.4	53.836	0	24.716	30203000	21	0.78514	0.952997	-0.245621	-0.286316
27.2255	25.3727	27.3897	26.6656	26.4565	26.1633	25.986	26.287						20	20	20	61.2	61.2	61.2	37.429	0	242.61	853030000	573	0.798768	0.958206	0.133628	0.268173
24.4449	23.5204	23.3529	23.8749	23.5939	23.0675	23.9598	23.1159						15	15	15	48.8	48.8	48.8	48.442	0	125.43	116600000	126	0.22451	0.806275	0.441032	1.44813
22.9125	24.1561	25.5896	21.0098	22.3214	19.3258	23.6517	23.2621						13	13	13	26.6	26.6	26.6	77.213	0	158.03	108160000	93	0.133985	0.762265	-2.10737	-1.76068
21.2433	20.712	20.078	22.3023	19.5876	19.6058	20.5847	20.2132						7	7	7	6.7	6.7	6.7	126.6	0	17.913	14526000	14	0.268696	0.797785	0.786353	1.28474
